Generation,  Identity,  Population
4, 19, 0
4, 20, 0
4, 21, 0
4, 22, 0
4, 23, 0
4, 24, 0
4, 25, 0
4, 26, 0
4, 27, 0
4, 28, 0
4, 29, 0
4, 30, 0
4, 31, 0
4, 32, 0
4, 33, 0
4, 34, 0
4, 35, 0
4, 36, 0
4, 37, 0
4, 38, 0
4, 39, 0
4, 40, 0
4, 41, 0
4, 42, 0
4, 43, 0
4, 44, 0
4, 45, 0
4, 46, 0
4, 47, 0
4, 48, 0
4, 49, 0
4, 50, 0
5, 1, 16
5, 2, 8.0
5, 3, 8
5, 4, 4.0
5, 5, 4.0
5, 6, 4.0
5, 7, 4
5, 8, 2.0
5, 9, 2.0
5, 10, 2.0
5, 11, 2.0
5, 12, 2.0
5, 13, 2.0
5, 14, 2.0
5, 15, 2
5, 16, 1.0
5, 17, 1.0
5, 18, 1.0
5, 19, 1.0
5, 20, 1.0
5, 21, 1.0
5, 22, 1.0
5, 23, 1.0
5, 24, 1.0
5, 25, 1.0
5, 26, 1.0
5, 27, 1.0
5, 28, 1.0
5, 29, 1.0
5, 30, 1.0
5, 31, 1
5, 32, 0
5, 33, 0
5, 34, 0
5, 35, 0
5, 36, 0
5, 37, 0
5, 38, 0
5, 39, 0
5, 40, 0
5, 41, 0
5, 42, 0
5, 43, 0
5, 44, 0
5, 45, 0
5, 46, 0
5, 47, 0
5, 48, 0
5, 49, 0
5, 50, 0
6, 1, 32
6, 2, 16.0
6, 3, 16
6, 4, 8.0
6, 5, 8.0
6, 6, 8.0
6, 7, 8
6, 8, 4.0
6, 9, 4.0
6, 10, 4.0
6, 11, 4.0
6, 12, 4.0
6, 13, 4.0
6, 14, 4.0
6, 15, 4
6, 16, 2.0
6, 17, 2.0
6, 18, 2.0
6, 19, 2.0
6, 20, 2.0
6, 21, 2.0
6, 22, 2.0
6, 23, 2.0
6, 24, 2.0
6, 25, 2.0
6, 26, 2.0
6, 27, 2.0
6, 28, 2.0
6, 29, 2.0
6, 30, 2.0
6, 31, 2
6, 32, 1.0
6, 33, 1.0
6, 34, 1.0
6, 35, 1.0
6, 36, 1.0
6, 37, 1.0
6, 38, 1.0
6, 39, 1.0
6, 40, 1.0
6, 41, 1.0
6, 42, 1.0
6, 43, 1.0
6, 44, 1.0
6, 45, 1.0
6, 46, 1.0
6, 47, 1.0
6, 48, 1.0
6, 49, 1.0
6, 50, 1.0
7, 1, 64
7, 2, 32.0
7, 3, 32
7, 4, 16.0
7, 5, 16.0
7, 6, 16.0
7, 7, 16
7, 8, 8.0
7, 9, 8.0
7, 10, 8.0
7, 11, 8.0
7, 12, 8.0
7, 13, 8.0
7, 14, 8.0
7, 15, 8
7, 16, 4.0
7, 17, 4.0
7, 18, 4.0
7, 19, 4.0
7, 20, 4.0
7, 21, 4.0
7, 22, 4.0
7, 23, 4.0
7, 24, 4.0
7, 25, 4.0
7, 26, 4.0
7, 27, 4.0
7, 28, 4.0
7, 29, 4.0
7, 30, 4.0
7, 31, 4
7, 32, 2.0
7, 33, 2.0
7, 34, 2.0
7, 35, 2.0
7, 36, 2.0
7, 37, 2.0
7, 38, 2.0
7, 39, 2.0
7, 40, 2.0
7, 41, 2.0
7, 42, 2.0
7, 43, 2.0
7, 44, 2.0
7, 45, 2.0
7, 46, 2.0
7, 47, 2.0
7, 48, 2.0
7, 49, 2.0
7, 50, 2.0
8, 1, 128
8, 2, 64.0
8, 3, 64
8, 4, 32.0
8, 5, 32.0
8, 6, 32.0
8, 7, 32
8, 8, 16.0
8, 9, 16.0
8, 10, 16.0
8, 11, 16.0
8, 12, 16.0
8, 13, 16.0
8, 14, 16.0
8, 15, 16
8, 16, 8.0
8, 17, 8.0
8, 18, 8.0
8, 19, 8.0
8, 20, 8.0
8, 21, 8.0
8, 22, 8.0
8, 23, 8.0
8, 24, 8.0
8, 25, 8.0
8, 26, 8.0
8, 27, 8.0
8, 28, 8.0
8, 29, 8.0
8, 30, 8.0
8, 31, 8
8, 32, 4.0
8, 33, 4.0
8, 34, 4.0
8, 35, 4.0
8, 36, 4.0
8, 37, 4.0
8, 38, 4.0
8, 39, 4.0
8, 40, 4.0
8, 41, 4.0
8, 42, 4.0
8, 43, 4.0
8, 44, 4.0
8, 45, 4.0
8, 46, 4.0
8, 47, 4.0
8, 48, 4.0
8, 49, 4.0
8, 50, 4.0
9, 1, 256
9, 2, 128.0
9, 3, 128
9, 4, 64.0
9, 5, 64.0
9, 6, 64.0
9, 7, 64
9, 8, 32.0
9, 9, 32.0
9, 10, 32.0
9, 11, 32.0
9, 12, 32.0
9, 13, 32.0
9, 14, 32.0
9, 15, 32
9, 16, 16.0
9, 17, 16.0
9, 18, 16.0
9, 19, 16.0
9, 20, 16.0
9, 21, 16.0
9, 22, 16.0
9, 23, 16.0
9, 24, 16.0
9, 25, 16.0
9, 26, 16.0
9, 27, 16.0
9, 28, 16.0
9, 29, 16.0
9, 30, 16.0
9, 31, 16
9, 32, 8.0
9, 33, 8.0
9, 34, 8.0
9, 35, 8.0
9, 36, 8.0
9, 37, 8.0
9, 38, 8.0
9, 39, 8.0
9, 40, 8.0
9, 41, 8.0
9, 42, 8.0
9, 43, 8.0
9, 44, 8.0
9, 45, 8.0
9, 46, 8.0
9, 47, 8.0
9, 48, 8.0
9, 49, 8.0
9, 50, 8.0
10, 1, 512
10, 2, 256.0
10, 3, 256
10, 4, 128.0
10, 5, 128.0
10, 6, 128.0
10, 7, 128
10, 8, 64.0
10, 9, 64.0
10, 10, 64.0
10, 11, 64.0
10, 12, 64.0
10, 13, 64.0
10, 14, 64.0
10, 15, 64
10, 16, 32.0
10, 17, 32.0
10, 18, 32.0
10, 19, 32.0
10, 20, 32.0
10, 21, 32.0
10, 22, 32.0
10, 23, 32.0
10, 24, 32.0
10, 25, 32.0
10, 26, 32.0
10, 27, 32.0
10, 28, 32.0
10, 29, 32.0
10, 30, 32.0
10, 31, 32
10, 32, 16.0
10, 33, 16.0
10, 34, 16.0
10, 35, 16.0
10, 36, 16.0
10, 37, 16.0
10, 38, 16.0
10, 39, 16.0
10, 40, 16.0
10, 41, 16.0
10, 42, 16.0
10, 43, 16.0
10, 44, 16.0
10, 45, 16.0
10, 46, 16.0
10, 47, 16.0
10, 48, 16.0
10, 49, 16.0
10, 50, 16.0
11, 1, 1024
11, 2, 512.0
11, 3, 512
11, 4, 256.0
11, 5, 256.0
11, 6, 256.0
11, 7, 256
11, 8, 128.0
11, 9, 128.0
11, 10, 128.0
11, 11, 128.0
11, 12, 128.0
11, 13, 128.0
11, 14, 128.0
11, 15, 128
11, 16, 64.0
11, 17, 64.0
11, 18, 64.0
11, 19, 64.0
11, 20, 64.0
11, 21, 64.0
11, 22, 64.0
11, 23, 64.0
11, 24, 64.0
11, 25, 64.0
11, 26, 64.0
11, 27, 64.0
11, 28, 64.0
11, 29, 64.0
11, 30, 64.0
11, 31, 64
11, 32, 32.0
11, 33, 32.0
11, 34, 32.0
11, 35, 32.0
11, 36, 32.0
11, 37, 32.0
11, 38, 32.0
11, 39, 32.0
11, 40, 32.0
11, 41, 32.0
11, 42, 32.0
11, 43, 32.0
11, 44, 32.0
11, 45, 32.0
11, 46, 32.0
11, 47, 32.0
11, 48, 32.0
11, 49, 32.0
11, 50, 32.0
12, 1, 2048
12, 2, 1024.0
12, 3, 1024
12, 4, 512.0
12, 5, 512.0
12, 6, 512.0
12, 7, 512
12, 8, 256.0
12, 9, 256.0
12, 10, 256.0
12, 11, 256.0
12, 12, 256.0
12, 13, 256.0
12, 14, 256.0
12, 15, 256
12, 16, 128.0
12, 17, 128.0
12, 18, 128.0
12, 19, 128.0
12, 20, 128.0
12, 21, 128.0
12, 22, 128.0
12, 23, 128.0
12, 24, 128.0
12, 25, 128.0
12, 26, 128.0
12, 27, 128.0
12, 28, 128.0
12, 29, 128.0
12, 30, 128.0
12, 31, 128
12, 32, 64.0
12, 33, 64.0
12, 34, 64.0
12, 35, 64.0
12, 36, 64.0
12, 37, 64.0
12, 38, 64.0
12, 39, 64.0
12, 40, 64.0
12, 41, 64.0
12, 42, 64.0
12, 43, 64.0
12, 44, 64.0
12, 45, 64.0
12, 46, 64.0
12, 47, 64.0
12, 48, 64.0
12, 49, 64.0
12, 50, 64.0
13, 1, 4096
13, 2, 2048.0
13, 3, 2048
13, 4, 1024.0
13, 5, 1024.0
13, 6, 1024.0
13, 7, 1024
13, 8, 512.0
13, 9, 512.0
13, 10, 512.0
13, 11, 512.0
13, 12, 512.0
13, 13, 512.0
13, 14, 512.0
13, 15, 512
13, 16, 256.0
13, 17, 256.0
13, 18, 256.0
13, 19, 256.0
13, 20, 256.0
13, 21, 256.0
13, 22, 256.0
13, 23, 256.0
13, 24, 256.0
13, 25, 256.0
13, 26, 256.0
13, 27, 256.0
13, 28, 256.0
13, 29, 256.0
13, 30, 256.0
13, 31, 256
13, 32, 128.0
13, 33, 128.0
13, 34, 128.0
13, 35, 128.0
13, 36, 128.0
13, 37, 128.0
13, 38, 128.0
13, 39, 128.0
13, 40, 128.0
13, 41, 128.0
13, 42, 128.0
13, 43, 128.0
13, 44, 128.0
13, 45, 128.0
13, 46, 128.0
13, 47, 128.0
13, 48, 128.0
13, 49, 128.0
13, 50, 128.0
14, 1, 8192
14, 2, 4096.0
14, 3, 4096
14, 4, 2048.0
14, 5, 2048.0
14, 6, 2048.0
14, 7, 2048
14, 8, 1024.0
14, 9, 1024.0
14, 10, 1024.0
14, 11, 1024.0
14, 12, 1024.0
14, 13, 1024.0
14, 14, 1024.0
14, 15, 1024
14, 16, 512.0
14, 17, 512.0
14, 18, 512.0
14, 19, 512.0
14, 20, 512.0
14, 21, 512.0
14, 22, 512.0
14, 23, 512.0
14, 24, 512.0
14, 25, 512.0
14, 26, 512.0
14, 27, 512.0
14, 28, 512.0
14, 29, 512.0
14, 30, 512.0
14, 31, 512
14, 32, 256.0
14, 33, 256.0
14, 34, 256.0
14, 35, 256.0
14, 36, 256.0
14, 37, 256.0
14, 38, 256.0
14, 39, 256.0
14, 40, 256.0
14, 41, 256.0
14, 42, 256.0
14, 43, 256.0
14, 44, 256.0
14, 45, 256.0
14, 46, 256.0
14, 47, 256.0
14, 48, 256.0
14, 49, 256.0
14, 50, 256.0
15, 1, 16384
15, 2, 8192.0
15, 3, 8192
15, 4, 4096.0
15, 5, 4096.0
15, 6, 4096.0
15, 7, 4096
15, 8, 2048.0
15, 9, 2048.0
15, 10, 2048.0
15, 11, 2048.0
15, 12, 2048.0
15, 13, 2048.0
15, 14, 2048.0
15, 15, 2048
15, 16, 1024.0
15, 17, 1024.0
15, 18, 1024.0
15, 19, 1024.0
15, 20, 1024.0
15, 21, 1024.0
15, 22, 1024.0
15, 23, 1024.0
15, 24, 1024.0
15, 25, 1024.0
15, 26, 1024.0
15, 27, 1024.0
15, 28, 1024.0
15, 29, 1024.0
15, 30, 1024.0
15, 31, 1024
15, 32, 512.0
15, 33, 512.0
15, 34, 512.0
15, 35, 512.0
15, 36, 512.0
15, 37, 512.0
15, 38, 512.0
15, 39, 512.0
15, 40, 512.0
15, 41, 512.0
15, 42, 512.0
15, 43, 512.0
15, 44, 512.0
15, 45, 512.0
15, 46, 512.0
15, 47, 512.0
15, 48, 512.0
15, 49, 512.0
15, 50, 512.0
16, 1, 32768
16, 2, 16384.0
16, 3, 16384
16, 4, 8192.0
16, 5, 8192.0
16, 6, 8192.0
16, 7, 8192
16, 8, 4096.0
16, 9, 4096.0
16, 10, 4096.0
16, 11, 4096.0
16, 12, 4096.0
16, 13, 4096.0
16, 14, 4096.0
16, 15, 4096
16, 16, 2048.0
16, 17, 2048.0
16, 18, 2048.0
16, 19, 2048.0
16, 20, 2048.0
16, 21, 2048.0
16, 22, 2048.0
16, 23, 2048.0
16, 24, 2048.0
16, 25, 2048.0
16, 26, 2048.0
16, 27, 2048.0
16, 28, 2048.0
16, 29, 2048.0
16, 30, 2048.0
16, 31, 2048
16, 32, 1024.0
16, 33, 1024.0
16, 34, 1024.0
16, 35, 1024.0
16, 36, 1024.0
16, 37, 1024.0
16, 38, 1024.0
16, 39, 1024.0
16, 40, 1024.0
16, 41, 1024.0
16, 42, 1024.0
16, 43, 1024.0
16, 44, 1024.0
16, 45, 1024.0
16, 46, 1024.0
16, 47, 1024.0
16, 48, 1024.0
16, 49, 1024.0
16, 50, 1024.0
17, 1, 65536
17, 2, 32768.0
17, 3, 32768
17, 4, 16384.0
17, 5, 16384.0
17, 6, 16384.0
17, 7, 16384
17, 8, 8192.0
17, 9, 8192.0
17, 10, 8192.0
17, 11, 8192.0
17, 12, 8192.0
17, 13, 8192.0
17, 14, 8192.0
17, 15, 8192
17, 16, 4096.0
17, 17, 4096.0
17, 18, 4096.0
17, 19, 4096.0
17, 20, 4096.0
17, 21, 4096.0
17, 22, 4096.0
17, 23, 4096.0
17, 24, 4096.0
17, 25, 4096.0
17, 26, 4096.0
17, 27, 4096.0
17, 28, 4096.0
17, 29, 4096.0
17, 30, 4096.0
17, 31, 4096
17, 32, 2048.0
17, 33, 2048.0
17, 34, 2048.0
17, 35, 2048.0
17, 36, 2048.0
17, 37, 2048.0
17, 38, 2048.0
17, 39, 2048.0
17, 40, 2048.0
17, 41, 2048.0
17, 42, 2048.0
17, 43, 2048.0
17, 44, 2048.0
17, 45, 2048.0
17, 46, 2048.0
17, 47, 2048.0
17, 48, 2048.0
17, 49, 2048.0
17, 50, 2048.0
